factor,factor_kind,year,horizon,active_n,control_n,active_return,control_return,return_delta,active_mae,control_mae,mae_delta,active_max_drawdown,control_max_drawdown,max_drawdown_delta
state__raw__daily__cxt_bi_trend_V230824__di_1::向下,state,2023,20,81,141,-0.022028960711667447,-0.008679716086533881,-0.013349244625133566,-0.04172192316642612,-0.04127570723664504,-0.0004462159297810783,-0.05994653414608008,-0.05844762181214299,-0.0014989123339370913
state__raw__daily__cxt_bi_trend_V230824__di_1::向下,state,2023,60,61,121,-0.037240161194076075,-0.050621234639017076,0.013381073444941001,-0.08232716726589814,-0.08258829020461121,0.00026112293871306813,-0.10559771167172924,-0.1278696483582913,0.02227193668656205
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2021,5,79,164,-0.002034289442401741,0.000344917539734007,-0.0023792069821357478,-0.018590588922600695,-0.016248676060100317,-0.0023419128625003782,-0.028613059725343327,-0.024267673948570094,-0.004345385776773233
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2021,20,79,164,-0.017178975195576422,0.0008423484828839221,-0.018021323678460346,-0.05277716828011323,-0.04015648441104275,-0.012620683869070483,-0.07194998065844276,-0.060410071471046295,-0.01153990918739646
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2021,60,79,164,-0.03235416625532893,-0.00904952191781913,-0.023304644337509797,-0.10137804149118482,-0.09603971029893402,-0.0053383311922508,-0.1301290946107732,-0.12931974210213681,-0.0008093525086363962
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2022,5,129,113,-0.010385193855466116,3.9452304563113466e-05,-0.010424646160029229,-0.023345550270171378,-0.021449361026586344,-0.0018961892435850336,-0.030322993964619023,-0.032680536731484765,0.0023575427668657417
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2022,20,129,113,-0.02597927743771397,-0.009575439411212654,-0.01640383802650132,-0.07098221551386619,-0.06313593994732557,-0.00784627556654062,-0.0866217243363274,-0.08743903248340582,0.0008173081470784216
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2022,60,129,113,-0.09153192337897459,0.024805460756514935,-0.11633738413548952,-0.16847769634083956,-0.09861219893088155,-0.06986549740995801,-0.1994835519078907,-0.13679995753536386,-0.06268359437252682
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2023,5,114,123,0.00024938181815400826,-0.005960889800400086,0.006210271618554094,-0.0134315242026912,-0.01737259766626548,0.003941073463574281,-0.020474064775165793,-0.024349821471191833,0.00387575669602604
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2023,20,105,117,-0.010675083484132517,-0.016130786495832706,0.005455703011700189,-0.042724467144409764,-0.04028445680926872,-0.0024400103351410463,-0.061094938710510784,-0.057109533134538586,-0.003985405575972198
state__raw__daily__cxt_bi_trend_V230824__di_1::横盘,state,2023,60,85,97,-0.051612608617141266,-0.04133760300724431,-0.010275005609896956,-0.08794834585781902,-0.07772712288724871,-0.010221222970570307,-0.1299983223173326,-0.11199825223046861,-0.018000070086863995
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2021,5,47,196,0.002231598953581384,-0.001066467042100436,0.00329806599568182,-0.014573202459840449,-0.01759438205678268,0.0030211795969422323,-0.024443780607740488,-0.02597690080257049,0.0015331201948300018
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2021,20,47,196,0.011398434278135243,-0.008952654593520053,0.020351088871655296,-0.03430334887916108,-0.046646950715405026,0.012343601836243945,-0.05651003254260753,-0.06599657481513273,0.009486542272525197
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2021,60,47,196,-0.02973752658194121,-0.013481821323173902,-0.01625570525876731,-0.10513530194630391,-0.09601029885383926,-0.009125003092464654,-0.13783370039158802,-0.12760434826835146,-0.010229352123236557
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2022,5,40,202,0.012135696663935085,-0.00901316714602426,0.021148863809959347,-0.011660645037885563,-0.02459865336307397,0.012938008325188405,-0.024043945561765704,-0.032885193314965366,0.008841247753199662
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2022,20,40,202,0.003589819991550883,-0.02265813981482261,0.026247959806373494,-0.03740249177579256,-0.07324241259556843,0.035839920819775876,-0.06890616932636626,-0.0905869620641408,0.02168079273777454
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2022,60,40,202,-0.020981063576116496,-0.040422566868103325,0.01944150329198683,-0.1063736812892396,-0.14169234680984324,0.03531866552060364,-0.1558368766713815,-0.17306088282553836,0.017224006154156868
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2023,5,34,203,0.003461530554108975,-0.004051487473001767,0.007513018027110742,-0.015132410310445769,-0.015534587790651698,0.00040217748020592893,-0.021549501802674963,-0.022642307211992844,0.0010928054093178804
state__raw__daily__cxt_bi_trend_V230913__di_1::上升趋势,state,2023,20,34,188,-0.021864083114377736,-0.012046845531688817,-0.00981723758268892,-0.042390128021189605,-0.0412664156602501,-0.0011237123609395064,-0.06458322335470072,-0.05798379971960012,-0.006599423635100604
