dt,symbol,open,high,low,close,vol,amount
2023-02-01,510500.SH,6.318,6.384,6.307,6.375,405654876.0,2579662458.0
2023-02-02,510500.SH,6.391,6.419,6.359,6.385,338292674.0,2161519790.0
2023-02-03,510500.SH,6.37,6.374,6.286,6.357,258303729.0,1635338319.0
2023-02-06,510500.SH,6.336,6.344,6.283,6.328,304667698.0,1923549544.0
2023-02-07,510500.SH,6.331,6.34,6.284,6.331,562754021.0,3551023755.0
2023-02-08,510500.SH,6.336,6.341,6.275,6.285,467137938.0,2946457122.0
2023-02-09,510500.SH,6.28,6.382,6.268,6.376,319843191.0,2030121218.0
2023-02-10,510500.SH,6.38,6.382,6.307,6.356,471355276.0,2986761533.0
2023-02-13,510500.SH,6.338,6.402,6.338,6.394,509438326.0,3253878462.0
2023-02-14,510500.SH,6.404,6.424,6.381,6.411,232379421.0,1487854766.0
2023-02-15,510500.SH,6.41,6.429,6.377,6.399,270255821.0,1728355320.0
2023-02-16,510500.SH,6.404,6.448,6.267,6.314,309968089.0,1973891842.0
2023-02-17,510500.SH,6.31,6.33,6.245,6.26,257134866.0,1617674608.0
2023-02-20,510500.SH,6.282,6.364,6.235,6.358,492217418.0,3101744006.0
2023-02-21,510500.SH,6.375,6.413,6.352,6.395,186274914.0,1189503911.0
2023-02-22,510500.SH,6.383,6.413,6.365,6.389,299347953.0,1911666367.0
2023-02-23,510500.SH,6.39,6.408,6.338,6.378,354664685.0,2261675776.0
2023-02-24,510500.SH,6.368,6.393,6.318,6.364,196814360.0,1250543753.0
2023-02-27,510500.SH,6.341,6.361,6.298,6.331,271088592.0,1716511047.0
2023-02-28,510500.SH,6.333,6.378,6.304,6.372,168964368.0,1073198959.0
2023-03-01,510500.SH,6.37,6.432,6.356,6.411,184066334.0,1178803881.0
2023-03-02,510500.SH,6.42,6.431,6.387,6.404,215661977.0,1380731369.0
2023-03-03,510500.SH,6.408,6.418,6.357,6.401,301792150.0,1929511268.0
2023-03-06,510500.SH,6.406,6.421,6.372,6.403,265155549.00000003,1696050548.0
