factor,reason
state__raw__30m__zdy_bi_end_V230406__di_1__joint::看空|任意|任意,state_active_support
state__raw__30m__zdy_bi_end_V230406__di_1__joint::看空|任意|顶分区间,state_active_support
state__raw__30m__zdy_bi_end_V230407__di_1__v1::看多,cross_year_direction
state__raw__30m__zdy_bi_end_V230407__di_1__v1::看空,minimum_absolute_effect
state__raw__30m__zdy_bi_end_V230407__di_1__joint::看空|任意|任意,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__v1::上涨,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__v1::下跌,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__v2::5笔,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__v2::7笔,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__v2::9笔,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|5笔|任意,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|7笔|任意,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__joint::上涨|9笔|任意,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|5笔|任意,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|7笔|任意,state_active_support
state__raw__30m__zdy_zs_V230423__di_1__joint::下跌|9笔|任意,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__v1::上涨,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__v1::下跌,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__v2::5笔,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__v2::7笔,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__v2::9笔,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__joint::上涨|5笔|任意,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__joint::上涨|7笔|任意,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__joint::上涨|9笔|任意,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__joint::下跌|5笔|任意,state_active_support
state__raw__30m__zdy_zs_space_V230421__di_1__joint::下跌|7笔|任意,state_active_support
