object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,weights
weight,volume_position,delta=+0.05,2024,0.06821503071757551,0.0487344479757279,-0.019480582741847607,0.429718323504386,0.37068505117180495,-0.059033272332581044,1.0,31,0.5289256198347108,-0.19757592331144302,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2025,0.5165797353772803,0.5174650259514706,0.0008852905741902894,2.1935321360904703,2.176738851360218,-0.0167932847302521,0.0,23,0.7283950617283951,-0.1250023910321978,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2021H1,0.24893799167194453,0.2046385022172248,-0.04429948945471973,3.071835242807882,2.5949332986757505,-0.4769019441321314,0.5700372994464726,7,0.6271186440677966,-0.10776621504815098,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2021H2,-0.19785984963082448,-0.1704732042922421,0.02738664533858237,-2.7932256547119008,-2.3585051003838227,0.4347205543280781,1.0,27,0.664,-0.20293897818394901,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2022H1,-0.06477702515250938,-0.06477702515250938,0.0,-0.7230789850675907,-0.7230789850675907,0.0,0.0,13,0.5299145299145299,-0.167370458417332,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2022H2,-0.004512956055262585,-0.004512956055262585,0.0,0.027823439228323324,0.027823439228323324,0.0,0.0,15,0.56,-0.09410443425020654,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2023H1,0.0509484040161825,0.0509484040161825,0.0,0.7678236149964333,0.7678236149964333,0.0,0.0,15,0.847457627118644,-0.09040812622954864,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2023H2,-0.10632026926329408,-0.10544152813179297,0.000878741131501104,-2.295242649962902,-2.274081930229856,0.02116071973304612,0.0,15,0.4838709677419355,-0.12012729472032813,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2024H1,-0.09485536840967668,-0.11579626634452023,-0.02094089793484355,-1.2263976900051408,-1.5892535210812497,-0.36285583107610897,1.0,16,0.5555555555555556,-0.11218947015927683,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2024H2,0.18015949433488965,0.18607783258281896,0.005918338247929311,1.0655359885390128,1.0893831507873082,0.023847162248295417,1.0,15,0.504,-0.1823154056517775,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2025H1,0.03483459850082471,0.055294387649123866,0.020459789148299157,0.5727132492529325,0.8383680545080471,0.26565480525511453,0.0,13,0.6666666666666666,-0.1250023910321978,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
weight,volume_position,delta=+0.05,2025H2,0.466221134770592,0.4386336987853612,-0.027587435985230835,3.257468496072225,3.0551756769588896,-0.2022928191133353,0.0,11,0.7857142857142857,-0.11355876027830503,inconclusive,"[0.27499999999999997, 0.27499999999999997, 0.45]"
