kind,id,name,information_family,status,provider,version
signal,SIG-CZSC-tas_boll_bc_V221118,tas_boll_bc_V221118,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_boll_cc_V230312,tas_boll_cc_V230312,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_boll_power_V221112,tas_boll_power_V221112,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_boll_vt_V230212,tas_boll_vt_V230212,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_cci_base_V230402,tas_cci_base_V230402,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_cross_status_V230619,tas_cross_status_V230619,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_cross_status_V230624,tas_cross_status_V230624,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_cross_status_V230625,tas_cross_status_V230625,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_dif_layer_V241010,tas_dif_layer_V241010,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_dif_zero_V240612,tas_dif_zero_V240612,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_dif_zero_V240614,tas_dif_zero_V240614,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_dma_bs_V240608,tas_dma_bs_V240608,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_double_ma_V221203,tas_double_ma_V221203,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_double_ma_V230511,tas_double_ma_V230511,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_double_ma_V240208,tas_double_ma_V240208,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_first_bs_V230217,tas_first_bs_V230217,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_hlma_V230301,tas_hlma_V230301,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_kdj_base_V221101,tas_kdj_base_V221101,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-tas_kdj_evc_V221201,tas_kdj_evc_V221201,TREND_MOMENTUM,DISCOVERED,czsc,1
