omitted_count,omitted_signal_dates,remaining_trades,mean_return_4,mean_return_5,mean_return_6,mean_band_return,mean_peak_advantage
2,2023-03-06|2023-07-18,23,0.011450547229822016,0.014384722679218826,0.013818047922493304,0.013217772610511382,0.0017504251030611658
2,2023-03-06|2023-09-15,23,0.01200589760006609,0.014548654497359629,0.014156027651180736,0.013570193249535487,0.001467691871736215
2,2023-03-06|2023-10-11,23,0.011822800295785429,0.015688101240737197,0.015568733447315875,0.014359878327946165,0.001992334369186545
2,2023-03-06|2023-11-02,23,0.010225813442586938,0.013651079924358631,0.013048767815863374,0.012308553727602983,0.0020137892951334756
2,2023-03-06|2023-12-15,23,0.01205848171476189,0.015429940382457404,0.014890577265754847,0.01412633312099138,0.001955410892199035
2,2023-03-06|2024-03-14,23,0.010285647461349176,0.013880793694814373,0.013978145284223678,0.012714862146795743,0.0017488973220279459
2,2023-03-06|2024-06-03,23,0.011788649950949415,0.01490999527838181,0.014028465293642144,0.013575703507657789,0.0020014376560860306
2,2023-03-06|2024-11-26,23,0.009356397330766509,0.01276078119535394,0.012571633085221346,0.011562937203780599,0.0017967659873600122
2,2023-03-06|2025-01-23,23,0.009914594646486464,0.012411621567151766,0.011512932628919658,0.011279716280852628,0.0016978579294487047
2,2023-03-06|2025-03-25,23,0.011784628932267813,0.014943982229400082,0.01459058017441176,0.01377306377869322,0.0017563776760602945
2,2023-03-06|2025-04-24,23,0.010931080419907771,0.013093085296762688,0.013024998054443966,0.012349721257038142,0.0011150460595868198
2,2023-03-06|2025-11-20,23,0.011481424901473733,0.014854619588490669,0.01361590009044286,0.013317314860135753,0.0023059570925323715
2,2023-03-06|2026-04-02,23,0.00948498777513862,0.012923446799679359,0.011615749405732604,0.011341394660183529,0.0023730782092437476
2,2023-03-06|2026-08-03,23,0.00818613909162661,0.011507636737221598,0.010969284849302862,0.010221020226050356,0.0019299247667568617
2,2023-03-20|2023-03-29,23,0.008255189178284378,0.011604666702163598,0.010636656580439538,0.01016550415362917,0.00215874382280164
2,2023-03-20|2023-05-11,23,0.009287635276516892,0.012783500092690369,0.0121183648716151,0.011396500080274121,0.0020805000186243723
2,2023-03-20|2023-07-10,23,0.008975048154829818,0.012464601922990998,0.012005236704946054,0.011148295594255625,0.001974459493103062
2,2023-03-20|2023-07-18,23,0.009360107136231265,0.012457603212981765,0.01191260885405943,0.011243439734424154,0.0018212452178364184
2,2023-03-20|2023-09-15,23,0.00991545750647534,0.012621535031122568,0.012250588582746863,0.011595860373448256,0.0015385119865114676
2,2023-03-20|2023-10-11,23,0.009732360202194677,0.013760981774500136,0.013663294378882,0.012385545451858939,0.0020631544839617975
2,2023-03-20|2023-11-02,23,0.008135373348996186,0.011723960458121572,0.011143328747429501,0.010334220851515754,0.0020846094099087283
2,2023-03-20|2023-12-15,23,0.00996804162117114,0.013502820916220343,0.012985138197320974,0.012152000244904154,0.0020262310069742873
2,2023-03-20|2024-03-14,23,0.008195207367758424,0.011953674228577313,0.012072706215789805,0.010740529270708515,0.0018197174368031984
2,2023-03-20|2024-06-03,23,0.009698209857358664,0.01298287581214475,0.01212302622520827,0.011601370631570561,0.002072257770861283
2,2023-03-20|2024-11-26,23,0.0072659572371757564,0.01083366172911688,0.010666194016787473,0.009588604327693368,0.0018675861021352647
2,2023-03-20|2025-01-23,23,0.007824154552895713,0.010484502100914705,0.009607493560485784,0.0093053834047654,0.0017686780442239573
2,2023-03-20|2025-03-25,23,0.009694188838677063,0.013016862763163021,0.012685141105977887,0.011798730902605992,0.001827197790835547
