date,R1102,S001-v1,R0539,R1319
2024-03-18,0.0,0.0,0.0,0.0
2024-03-19,0.0,-0.01472672064270586,0.0,0.0
2024-03-20,0.0,0.0024066076655235857,0.0,0.0
2024-03-21,0.0,-0.010803734145445554,0.0,0.0
2024-03-22,0.0,-0.0029258100095779227,0.0,0.0
2024-03-25,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.0,0.0,0.0
2024-03-29,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0
2024-04-19,-0.014984355027649054,-0.014984825363367982,-0.014984999355041273,0.0
2024-04-22,0.0,0.0,0.0,0.0
2024-04-23,-0.004010449023665985,-0.004010576820468348,-0.004010624096473681,0.0
2024-04-24,0.014764190787972975,0.0008415857999797272,0.014764837901739547,0.0
2024-04-25,-0.006613354978070141,-0.003154226429051721,-0.00661364062358849,-0.0031544051643661586
2024-04-26,-0.0004999694341996097,0.026629135742227916,-0.0004999911727632256,0.02663064946616789
2024-04-29,0.03061244978567501,0.03112610170329,0.0306115444767614,0.031127825158949296
2024-04-30,-0.011320522083691276,-0.011319942458495214,-0.011320197243195884,-0.011320550323435041
2024-05-06,0.012722381875749589,0.012721723015278519,0.01272201262917716,0.012722413975911007
2024-05-07,-0.010050044990363771,-0.010049531061623318,-0.01004975696827115,-0.010050070029328673
